2020-08-16 19:29:27.1411||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:29:27.1411||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:29:30.9085||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:29:30.9085||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:29:30.9085||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:29:30.9272||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:29:30.9272||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:29:30.9373||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:35:48.9067||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:35:48.9248||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:35:48.9248||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:35:48.9365||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:35:48.9365||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:35:48.9365||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
