2020-08-16 18:18:03.1873||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:18:03.1873||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:18:04.7041||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:18:04.7175||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:18:04.7175||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:18:04.7175||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:18:05.0195||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:18:05.0322||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:18:05.0322||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:18:05.0322||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:18:05.6135||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:18:05.6297||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:18:05.6297||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:18:05.6423||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:21:37.9364||INFO|Asp.NetCore.Logging.Nlog.Program|Proje Ayağa Kalkıyor..... |url: |action: 
2020-08-16 18:21:38.4051|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 18:21:38.5172||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:21:38.5312||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:21:38.5312||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:21:38.5312||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:21:41.3630||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:21:41.3786||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:21:41.3786||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:21:41.3937||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:55:53.0991||INFO|Asp.NetCore.Logging.Nlog.Program|Proje Ayağa Kalkıyor..... |url: |action: 
2020-08-16 18:55:54.1113|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 18:55:54.2970||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:55:54.2970||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:55:54.3135||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:55:54.3135||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:57:10.0988|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 18:57:10.2384||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:57:10.2528||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:57:10.2528||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:57:10.2528||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
